Inb.coef,Treatment,Fam.ID,Sperm_length,Trait
0.73,Inb.6,Fam.27,76,Sperm_Length
0.73,Inb.6,Fam.31,79,Sperm_Length
0.73,Inb.6,Fam.32,79,Sperm_Length
0.73,Inb.6,Fam.33,83,Sperm_Length
0.73,Inb.6,Fam.34,75,Sperm_Length
0.73,Inb.6,Fam.35,73,Sperm_Length
0.73,Inb.6,Fam.38,74,Sperm_Length
0.73,Inb.6,Fam.39,82,Sperm_Length
0.73,Inb.6,Fam.40,75,Sperm_Length
0.73,Inb.6,Fam.42,79,Sperm_Length
0.73,Inb.6,Fam.43,74,Sperm_Length
0.73,Inb.6,Fam.44,78,Sperm_Length
0.73,Inb.6,Fam.45,81,Sperm_Length
