Family.ID,Rep.Fam,Gen,Off.counts
35,B,Inb.4,82
38,B,Inb.4,73
39,B,Inb.4,25
40,B,Inb.4,119
42,B,Inb.4,46
43,B,Inb.4,13
44,B,Inb.4,10
45,B,Inb.4,80
1,A,Inb.5,23
2,A,Inb.5,0
5,A,Inb.5,70
6,A,Inb.5,0
7,A,Inb.5,1
8,A,Inb.5,74
9,A,Inb.5,34
11,A,Inb.5,65
12,A,Inb.5,43
13,A,Inb.5,75
14,A,Inb.5,73
16,A,Inb.5,19
17,A,Inb.5,120
18,A,Inb.5,82
19,A,Inb.5,139
20,A,Inb.5,32
21,A,Inb.5,56
22,A,Inb.5,83
23,A,Inb.5,109
24,A,Inb.5,55
27,A,Inb.5,35
31,A,Inb.5,79
32,A,Inb.5,17
33,A,Inb.5,10
34,A,Inb.5,57
35,A,Inb.5,77
38,A,Inb.5,72
39,A,Inb.5,60
40,A,Inb.5,0
42,A,Inb.5,73
43,A,Inb.5,29
44,A,Inb.5,20
45,A,Inb.5,0
1,B,Inb.5,12
2,B,Inb.5,34
5,B,Inb.5,60
6,B,Inb.5,42
7,B,Inb.5,23
8,B,Inb.5,96
9,B,Inb.5,68
11,B,Inb.5,72
12,B,Inb.5,0
13,B,Inb.5,0
14,B,Inb.5,58
16,B,Inb.5,0
17,B,Inb.5,42
18,B,Inb.5,70
19,B,Inb.5,63
20,B,Inb.5,2
21,B,Inb.5,99
22,B,Inb.5,48
23,B,Inb.5,0
24,B,Inb.5,43
27,B,Inb.5,42
31,B,Inb.5,66
32,B,Inb.5,146
33,B,Inb.5,42
34,B,Inb.5,74
35,B,Inb.5,116
38,B,Inb.5,62
39,B,Inb.5,71
40,B,Inb.5,88
42,B,Inb.5,66
43,B,Inb.5,81
44,B,Inb.5,18
45,B,Inb.5,17
1,A,Inb.6,107
2,A,Inb.6,0
5,A,Inb.6,53
6,A,Inb.6,8
7,A,Inb.6,54
8,A,Inb.6,76
9,A,Inb.6,0
11,A,Inb.6,9
12,A,Inb.6,25
13,A,Inb.6,73
14,A,Inb.6,36
16,A,Inb.6,0
17,A,Inb.6,37
18,A,Inb.6,41
19,A,Inb.6,55
20,A,Inb.6,27
21,A,Inb.6,71
22,A,Inb.6,66
23,A,Inb.6,38
24,A,Inb.6,73
27,A,Inb.6,24
31,A,Inb.6,64
32,A,Inb.6,32
33,A,Inb.6,42
34,A,Inb.6,64
35,A,Inb.6,54
38,A,Inb.6,30
39,A,Inb.6,68
40,A,Inb.6,93
42,A,Inb.6,0
43,A,Inb.6,67
44,A,Inb.6,8
45,A,Inb.6,23
1,B,Inb.6,0
2,B,Inb.6,70
5,B,Inb.6,62
6,B,Inb.6,74
7,B,Inb.6,18
8,B,Inb.6,13
9,B,Inb.6,43
11,B,Inb.6,7
12,B,Inb.6,61
13,B,Inb.6,31
14,B,Inb.6,7
16,B,Inb.6,16
17,B,Inb.6,32
18,B,Inb.6,33
19,B,Inb.6,53
20,B,Inb.6,19
21,B,Inb.6,43
22,B,Inb.6,65
23,B,Inb.6,0
24,B,Inb.6,13
27,B,Inb.6,0
31,B,Inb.6,94
32,B,Inb.6,75
33,B,Inb.6,29
34,B,Inb.6,0
35,B,Inb.6,16
38,B,Inb.6,47
39,B,Inb.6,100
40,B,Inb.6,104
42,B,Inb.6,78
43,B,Inb.6,31
44,B,Inb.6,27
45,B,Inb.6,0
