Inb.coef,Family,ID,Offspring
0.37,27,Inb.2,108
0.37,31,Inb.2,43
0.37,32,Inb.2,111
0.37,33,Inb.2,45
0.37,34,Inb.2,74
0.37,35,Inb.2,75
0.37,37,Inb.2,89
0.37,38,Inb.2,111
0.37,39,Inb.2,94
0.37,40,Inb.2,94
0.37,42,Inb.2,91
0.37,43,Inb.2,22
0.37,44,Inb.2,65
0.37,45,Inb.2,92
0.50,1,Inb.3,65
0.50,2,Inb.3,81
0.50,5,Inb.3,109
0.50,6,Inb.3,48
0.50,7,Inb.3,10
0.50,8,Inb.3,94
0.50,9,Inb.3,69
0.50,10,Inb.3,37
0.50,11,Inb.3,82
0.50,12,Inb.3,67
0.50,13,Inb.3,116
0.50,14,Inb.3,46
0.50,16,Inb.3,35
0.50,17,Inb.3,82
0.50,18,Inb.3,78
0.50,19,Inb.3,90
0.50,20,Inb.3,96
0.50,21,Inb.3,112
0.50,22,Inb.3,76
0.50,23,Inb.3,131
0.50,24,Inb.3,72
0.50,27,Inb.3,71
0.50,31,Inb.3,91
0.50,32,Inb.3,125
0.50,33,Inb.3,39
0.50,34,Inb.3,48
0.50,35,Inb.3,86
0.50,37,Inb.3,35
0.50,38,Inb.3,92
0.50,39,Inb.3,101
0.50,40,Inb.3,120
0.50,42,Inb.3,105
0.50,43,Inb.3,20
0.50,44,Inb.3,61
0.50,45,Inb.3,76
0.59,1,Inb.4,35
0.59,2,Inb.4,48
0.59,5,Inb.4,67
0.59,6,Inb.4,48
0.59,7,Inb.4,57
0.59,8,Inb.4,44
0.59,9,Inb.4,46
0.59,10,Inb.4,16
0.59,11,Inb.4,28
0.59,12,Inb.4,80
0.59,13,Inb.4,57
0.59,14,Inb.4,78
0.59,16,Inb.4,12
0.59,17,Inb.4,35
0.59,18,Inb.4,63
0.59,19,Inb.4,90
0.59,20,Inb.4,51
0.59,21,Inb.4,85
0.59,22,Inb.4,84
0.59,23,Inb.4,53
0.59,24,Inb.4,32
0.59,27,Inb.4,71
0.59,31,Inb.4,74
0.59,32,Inb.4,128
0.59,33,Inb.4,23
0.59,34,Inb.4,74
0.59,35,Inb.4,83
0.59,37,Inb.4,7
0.59,38,Inb.4,77
0.59,39,Inb.4,27
0.59,40,Inb.4,95
0.59,42,Inb.4,66
0.59,43,Inb.4,52
0.59,44,Inb.4,8
0.59,45,Inb.4,69
0.67,1,Inb.5,18
0.67,2,Inb.5,17
0.67,5,Inb.5,65
0.67,6,Inb.5,21
0.67,7,Inb.5,12
0.67,8,Inb.5,85
0.67,9,Inb.5,51
0.67,10,Inb.5,13
0.67,11,Inb.5,69
0.67,12,Inb.5,22
0.67,13,Inb.5,38
0.67,14,Inb.5,66
0.67,16,Inb.5,10
0.67,17,Inb.5,81
0.67,18,Inb.5,76
0.67,19,Inb.5,101
0.67,20,Inb.5,17
0.67,21,Inb.5,78
0.67,22,Inb.5,66
0.67,23,Inb.5,55
0.67,24,Inb.5,49
0.67,27,Inb.5,39
0.67,31,Inb.5,73
0.67,32,Inb.5,82
0.67,33,Inb.5,26
0.67,34,Inb.5,66
0.67,35,Inb.5,97
0.67,37,Inb.5,26
0.67,38,Inb.5,67
0.67,39,Inb.5,66
0.67,40,Inb.5,44
0.67,42,Inb.5,70
0.67,43,Inb.5,55
0.67,44,Inb.5,19
0.67,45,Inb.5,9
0.73,1,Inb.6,54
0.73,2,Inb.6,35
0.73,5,Inb.6,58
0.73,6,Inb.6,41
0.73,7,Inb.6,36
0.73,8,Inb.6,45
0.73,9,Inb.6,22
0.73,10,Inb.6,3
0.73,11,Inb.6,8
0.73,12,Inb.6,43
0.73,13,Inb.6,52
0.73,14,Inb.6,22
0.73,16,Inb.6,8
0.73,17,Inb.6,35
0.73,18,Inb.6,37
0.73,19,Inb.6,54
0.73,20,Inb.6,23
0.73,21,Inb.6,57
0.73,22,Inb.6,66
0.73,23,Inb.6,19
0.73,24,Inb.6,43
0.73,27,Inb.6,12
0.73,31,Inb.6,79
0.73,32,Inb.6,54
0.73,33,Inb.6,36
0.73,34,Inb.6,32
0.73,35,Inb.6,35
0.73,37,Inb.6,0
0.73,38,Inb.6,39
0.73,39,Inb.6,84
0.73,40,Inb.6,99
0.73,42,Inb.6,39
0.73,43,Inb.6,49
0.73,44,Inb.6,18
0.73,45,Inb.6,12
