Sex,Fam.ID,Rep.ID,Lifespan,Status,Gen,,
Male,12,A,57,1,Inb.3,,
Male,12,B,57,1,Inb.3,,
Male,13,A,9,1,Inb.3,,
Male,13,B,53,1,Inb.3,,
Male,14,A,69,1,Inb.3,,
Male,14,B,86,1,Inb.3,,
Male,15,A,25,1,Inb.3,,
Male,15,B,73,1,Inb.3,,
Male,16,A,1,1,Inb.3,,
Male,16,B,1,1,Inb.3,,
Male,17,A,37,1,Inb.3,,
Male,17,B,49,1,Inb.3,,
Male,18,A,49,1,Inb.3,,
Male,18,B,73,1,Inb.3,,
Male,19,A,49,1,Inb.3,,
Male,19,B,57,1,Inb.3,,
Male,20,A,53,1,Inb.3,,
Male,20,B,65,1,Inb.3,,
Male,21,A,29,1,Inb.3,,
Male,21,B,53,1,Inb.3,,
Male,22,A,86,1,Inb.3,,
Male,22,B,86,1,Inb.3,,
Male,23,A,25,1,Inb.3,,
Male,23,B,25,1,Inb.3,,
Male,24,A,69,1,Inb.3,,
Male,24,B,73,1,Inb.3,,
Male,25,A,61,1,Inb.3,,
Male,25,B,73,1,Inb.3,,
Male,26,A,29,1,Inb.3,,
Male,26,B,33,1,Inb.3,,
Male,27,A,57,1,Inb.3,,
Male,27,B,61,1,Inb.3,,
Male,29,A,49,1,Inb.3,,
Male,29,B,53,1,Inb.3,,
Male,31,A,49,1,Inb.3,,
Male,31,B,82,1,Inb.3,,
Male,32,A,49,1,Inb.3,,
Male,32,B,65,1,Inb.3,,
Male,33,A,82,1,Inb.3,,
Male,33,B,82,1,Inb.3,,
Male,34,A,65,1,Inb.3,,
Male,34,B,65,1,Inb.3,,
Male,35,A,69,1,Inb.3,,
Male,35,B,69,1,Inb.3,,
Male,36,A,65,1,Inb.3,,
Male,36,B,65,1,Inb.3,,
Male,37,A,33,1,Inb.3,,
Male,37,B,41,1,Inb.3,,
Male,38,A,29,1,Inb.3,,
Male,38,B,37,1,Inb.3,,
Male,39,A,57,1,Inb.3,,
Male,39,B,57,1,Inb.3,,
Male,40,A,73,1,Inb.3,,
Male,40,B,82,1,Inb.3,,
Male,41,A,5,1,Inb.3,,
Male,41,B,73,1,Inb.3,,
Male,42,A,73,1,Inb.3,,
Male,42,B,94,1,Inb.3,,
Male,43,A,61,1,Inb.3,,
Male,43,B,69,1,Inb.3,,
Male,44,A,65,1,Inb.3,,
Male,44,B,73,1,Inb.3,,
Male,45,A,69,1,Inb.3,,
Male,45,B,98,1,Inb.3,,
Male,1,A,33,1,Inb.4,,
Male,1,B,33,1,Inb.4,,
Male,2,A,93,1,Inb.4,,
Male,2,B,81,1,Inb.4,,
Male,3,A,1,1,Inb.4,,
Male,3,B,13,1,Inb.4,,
Male,4,A,21,1,Inb.4,,
Male,4,B,33,1,Inb.4,,
Male,5,A,49,1,Inb.4,,
Male,5,B,73,1,Inb.4,,
Male,6,A,1,1,Inb.4,,
Male,6,B,1,1,Inb.4,,
Male,7,A,17,1,Inb.4,,
Male,7,B,29,1,Inb.4,,
Male,8,A,57,1,Inb.4,,
Male,8,B,69,1,Inb.4,,
Male,9,A,29,1,Inb.4,,
Male,9,B,57,1,Inb.4,,
Male,10,A,3,1,Inb.4,,
Male,10,B,13,1,Inb.4,,
Male,11,A,13,1,Inb.4,,
Male,11,B,33,1,Inb.4,,
Male,12,A,25,1,Inb.4,,
Male,12,B,41,1,Inb.4,,
Male,13,A,1,1,Inb.4,,
Male,13,B,1,1,Inb.4,,
Male,14,A,21,1,Inb.4,,
Male,14,B,61,1,Inb.4,,
Male,15,A,1,1,Inb.4,,
Male,15,B,1,1,Inb.4,,
Male,16,A,1,1,Inb.4,,
Male,16,B,89,1,Inb.4,,
Male,17,A,17,1,Inb.4,,
Male,17,B,57,1,Inb.4,,
Male,18,A,29,1,Inb.4,,
Male,18,B,73,1,Inb.4,,
Male,19,A,17,1,Inb.4,,
Male,19,B,25,1,Inb.4,,
Male,20,A,1,1,Inb.4,,
Male,20,B,3,1,Inb.4,,
Male,21,A,3,1,Inb.4,,
Male,21,B,29,1,Inb.4,,
Male,22,A,37,1,Inb.4,,
Male,22,B,81,1,Inb.4,,
Male,23,A,1,1,Inb.4,,
Male,23,B,53,1,Inb.4,,
Male,24,A,29,1,Inb.4,,
Male,24,B,61,1,Inb.4,,
Male,25,A,1,1,Inb.4,,
Male,25,B,1,1,Inb.4,,
Male,26,A,29,1,Inb.4,,
Male,26,B,53,1,Inb.4,,
Male,27,A,37,1,Inb.4,,
Male,27,B,53,1,Inb.4,,
Male,29,A,13,1,Inb.4,,
Male,29,B,33,1,Inb.4,,
Male,31,A,89,1,Inb.4,,
Male,31,B,93,1,Inb.4,,
Male,32,A,13,1,Inb.4,,
Male,32,B,69,1,Inb.4,,
Male,33,A,73,1,Inb.4,,
Male,33,B,85,1,Inb.4,,
Male,34,A,33,1,Inb.4,,
Male,34,B,41,1,Inb.4,,
Male,35,A,25,1,Inb.4,,
Male,35,B,29,1,Inb.4,,
Male,36,A,17,1,Inb.4,,
Male,36,B,69,1,Inb.4,,
Male,37,A,25,1,Inb.4,,
Male,37,B,33,1,Inb.4,,
Male,38,A,61,1,Inb.4,,
Male,38,B,61,1,Inb.4,,
Male,39,A,33,1,Inb.4,,
Male,39,B,81,1,Inb.4,,
Male,40,A,13,1,Inb.4,,
Male,40,B,57,1,Inb.4,,
Male,41,A,33,1,Inb.4,,
Male,41,B,69,1,Inb.4,,
Male,42,A,33,1,Inb.4,,
Male,42,B,81,1,Inb.4,,
Male,43,A,25,1,Inb.4,,
Male,43,B,25,1,Inb.4,,
Male,44,A,1,1,Inb.4,,
Male,44,B,1,1,Inb.4,,
Male,45,A,17,1,Inb.4,,
Male,45,B,17,1,Inb.4,,
Male,1,A,1,1,Inb.5,,
Male,1,B,1,1,Inb.5,,
Male,2,A,77,1,Inb.5,,
Male,2,B,81,1,Inb.5,,
Male,5,A,21,1,Inb.5,,
Male,5,B,65,1,Inb.5,,
Male,6,A,29,1,Inb.5,,
Male,6,B,37,1,Inb.5,,
Male,7,A,9,1,Inb.5,,
Male,7,B,37,1,Inb.5,,
Male,8,A,57,1,Inb.5,,
Male,8,B,69,1,Inb.5,,
Male,9,A,9,1,Inb.5,,
Male,9,B,57,1,Inb.5,,
Male,10,A,9,1,Inb.5,,
Male,10,B,61,1,Inb.5,,
Male,11,A,9,1,Inb.5,,
Male,11,B,45,1,Inb.5,,
Male,12,A,53,1,Inb.5,,
Male,12,B,53,1,Inb.5,,
Male,13,A,9,1,Inb.5,,
Male,13,B,53,1,Inb.5,,
Male,14,A,45,1,Inb.5,,
Male,14,B,53,1,Inb.5,,
Male,15,A,61,1,Inb.5,,
Male,15,B,65,1,Inb.5,,
Male,17,A,9,1,Inb.5,,
Male,17,B,9,1,Inb.5,,
Male,18,A,53,1,Inb.5,,
Male,18,B,81,1,Inb.5,,
Male,19,A,65,1,Inb.5,,
Male,19,B,65,1,Inb.5,,
Male,20,A,9,1,Inb.5,,
Male,20,B,53,1,Inb.5,,
Male,21,A,25,1,Inb.5,,
Male,21,B,29,1,Inb.5,,
Male,22,A,9,1,Inb.5,,
Male,22,B,49,1,Inb.5,,
Male,23,A,21,1,Inb.5,,
Male,23,B,61,1,Inb.5,,
Male,24,A,9,1,Inb.5,,
Male,24,B,25,1,Inb.5,,
Male,27,A,1,1,Inb.5,,
Male,27,B,1,1,Inb.5,,
Male,31,A,33,1,Inb.5,,
Male,31,B,57,1,Inb.5,,
Male,32,A,29,1,Inb.5,,
Male,32,B,53,1,Inb.5,,
Male,33,A,9,1,Inb.5,,
Male,33,B,53,1,Inb.5,,
Male,34,A,45,1,Inb.5,,
Male,34,B,53,1,Inb.5,,
Male,35,A,33,1,Inb.5,,
Male,35,B,45,1,Inb.5,,
Male,37,A,3,1,Inb.5,,
Male,37,B,9,1,Inb.5,,
Male,38,A,37,1,Inb.5,,
Male,38,B,45,1,Inb.5,,
Male,39,A,9,1,Inb.5,,
Male,39,B,29,1,Inb.5,,
Male,40,A,37,1,Inb.5,,
Male,40,B,65,1,Inb.5,,
Male,42,A,9,1,Inb.5,,
Male,42,B,77,1,Inb.5,,
Male,43,A,65,1,Inb.5,,
Male,43,B,69,1,Inb.5,,
Male,44,A,33,1,Inb.5,,
Male,44,B,45,1,Inb.5,,
Male,45,A,9,1,Inb.5,,
Male,45,B,61,1,Inb.5,,
Male,1,A,5,1,Inb.6,,
Male,1,B,57,1,Inb.6,,
Male,2,A,1,1,Inb.6,,
Male,2,B,85,1,Inb.6,,
Male,5,A,37,1,Inb.6,,
Male,5,B,61,1,Inb.6,,
Male,6,A,1,1,Inb.6,,
Male,6,B,5,1,Inb.6,,
Male,7,A,53,1,Inb.6,,
Male,7,B,65,1,Inb.6,,
Male,8,A,5,1,Inb.6,,
Male,8,B,65,1,Inb.6,,
Male,9,A,57,1,Inb.6,,
Male,9,B,65,1,Inb.6,,
Male,10,A,1,1,Inb.6,,
Male,10,B,1,1,Inb.6,,
Male,11,A,1,1,Inb.6,,
Male,11,B,1,1,Inb.6,,
Male,12,A,37,1,Inb.6,,
Male,12,B,53,1,Inb.6,,
Male,13,A,49,1,Inb.6,,
Male,13,B,65,1,Inb.6,,
Male,14,A,17,1,Inb.6,,
Male,14,B,25,1,Inb.6,,
Male,15,A,17,1,Inb.6,,
Male,15,B,65,1,Inb.6,,
Male,17,A,5,1,Inb.6,,
Male,17,B,25,1,Inb.6,,
Male,18,A,5,1,Inb.6,,
Male,18,B,85,1,Inb.6,,
Male,19,A,49,1,Inb.6,,
Male,19,B,53,1,Inb.6,,
Male,20,A,49,1,Inb.6,,
Male,20,B,49,1,Inb.6,,
Male,21,A,21,1,Inb.6,,
Male,21,B,45,1,Inb.6,,
Male,22,A,61,1,Inb.6,,
Male,22,B,61,1,Inb.6,,
Male,23,A,53,1,Inb.6,,
Male,23,B,69,1,Inb.6,,
Male,24,A,5,1,Inb.6,,
Male,24,B,69,1,Inb.6,,
Male,27,A,1,1,Inb.6,,
Male,27,B,1,1,Inb.6,,
Male,31,A,1,1,Inb.6,,
Male,31,B,25,1,Inb.6,,
Male,32,A,5,1,Inb.6,,
Male,32,B,21,1,Inb.6,,
Male,33,A,37,1,Inb.6,,
Male,33,B,57,1,Inb.6,,
Male,34,A,5,1,Inb.6,,
Male,34,B,5,1,Inb.6,,
Male,35,A,65,1,Inb.6,,
Male,35,B,73,1,Inb.6,,
Male,37,A,1,1,Inb.6,,
Male,37,B,1,1,Inb.6,,
Male,38,A,33,1,Inb.6,,
Male,38,B,53,1,Inb.6,,
Male,39,A,5,1,Inb.6,,
Male,39,B,45,1,Inb.6,,
Male,40,A,53,1,Inb.6,,
Male,40,B,65,1,Inb.6,,
Male,42,A,73,1,Inb.6,,
Male,42,B,77,1,Inb.6,,
Male,43,A,65,1,Inb.6,,
Male,43,B,73,1,Inb.6,,
Male,44,A,53,1,Inb.6,,
Male,44,B,61,1,Inb.6,,
Male,45,A,1,1,Inb.6,,
Male,45,B,1,1,Inb.6,,
Female,1,A,25,1,G0,,
Female,1,B,54,1,G0,,
Female,2,A,34,1,G0,,
Female,2,B,50,1,G0,,
Female,3,A,14,1,G0,,
Female,3,B,50,1,G0,,
Female,4,A,21,1,G0,,
Female,4,B,46,1,G0,,
Female,5,A,34,1,G0,,
Female,5,B,5,1,G0,,
Female,6,A,46,1,G0,,
Female,6,B,54,1,G0,,
Female,7,A,58,1,G0,,
Female,7,B,30,1,G0,,
Female,8,A,21,1,G0,,
Female,8,B,50,1,G0,,
Female,9,A,14,1,G0,,
Female,9,B,58,1,G0,,
Female,10,A,42,1,G0,,
Female,10,B,34,1,G0,,
Female,11,A,54,1,G0,,
Female,11,B,58,1,G0,,
Female,12,A,34,1,G0,,
Female,12,B,38,1,G0,,
Female,13,A,42,1,G0,,
Female,13,B,50,1,G0,,
Female,14,A,74,1,G0,,
Female,14,B,30,1,G0,,
Female,15,A,42,1,G0,,
Female,15,B,38,1,G0,,
Female,16,A,50,1,G0,,
Female,16,B,10,1,G0,,
Female,17,A,34,1,G0,,
Female,17,B,42,1,G0,,
Female,18,A,50,1,G0,,
Female,18,B,86,1,G0,,
Female,19,A,42,1,G0,,
Female,19,B,25,1,G0,,
Female,20,A,21,1,G0,,
Female,20,B,25,1,G0,,
Female,21,A,30,1,G0,,
Female,21,B,38,1,G0,,
Female,22,A,34,1,G0,,
Female,22,B,34,1,G0,,
Female,23,A,34,1,G0,,
Female,23,B,62,1,G0,,
Female,24,A,18,1,G0,,
Female,24,B,21,1,G0,,
Female,25,A,34,1,G0,,
Female,25,B,46,1,G0,,
Female,26,A,25,1,G0,,
Female,26,B,34,1,G0,,
Female,27,A,34,1,G0,,
Female,27,B,50,1,G0,,
Female,28,A,18,1,G0,,
Female,28,B,34,1,G0,,
Female,29,A,62,1,G0,,
Female,29,B,54,1,G0,,
Female,30,A,50,1,G0,,
Female,30,B,50,1,G0,,
Female,31,A,86,1,G0,,
Female,31,B,38,1,G0,,
Female,32,A,38,1,G0,,
Female,32,B,34,1,G0,,
Female,33,A,34,1,G0,,
Female,33,B,46,1,G0,,
Female,34,A,30,1,G0,,
Female,34,B,42,1,G0,,
Female,35,A,34,1,G0,,
Female,35,B,42,1,G0,,
Female,36,A,34,1,G0,,
Female,36,B,38,1,G0,,
Female,37,A,54,1,G0,,
Female,37,B,70,1,G0,,
Female,38,A,38,1,G0,,
Female,38,B,30,1,G0,,
Female,39,A,38,1,G0,,
Female,39,B,46,1,G0,,
Female,40,A,42,1,G0,,
Female,40,B,30,1,G0,,
Female,41,A,30,1,G0,,
Female,41,B,21,1,G0,,
Female,42,A,42,1,G0,,
Female,42,B,34,1,G0,,
Female,43,A,42,1,G0,,
Female,43,B,46,1,G0,,
Female,44,A,46,1,G0,,
Female,44,B,66,1,G0,,
Female,45,A,30,1,G0,,
Female,45,B,42,1,G0,,
Female,1,A,35,1,Inb.1,,
Female,1,B,43,1,Inb.1,,
Female,2,A,35,1,Inb.1,,
Female,2,B,39,1,Inb.1,,
Female,3,A,35,1,Inb.1,,
Female,3,B,43,1,Inb.1,,
Female,4,A,1,1,Inb.1,,
Female,4,B,1,1,Inb.1,,
Female,5,A,7,1,Inb.1,,
Female,5,B,51,1,Inb.1,,
Female,6,A,31,1,Inb.1,,
Female,6,B,43,1,Inb.1,,
Female,7,A,39,1,Inb.1,,
Female,7,B,27,1,Inb.1,,
