Inb.coef,Family,ID,Elytra,Sex
0.59,6,Inb.4,2680,Female
0.59,7,Inb.4,2250,Female
0.59,8,Inb.4,2420,Female
0.59,9,Inb.4,2610,Female
0.59,11,Inb.4,2550,Female
0.59,12,Inb.4,2330,Female
0.59,13,Inb.4,2500,Female
0.59,14,Inb.4,2530,Female
0.59,16,Inb.4,2590,Female
0.59,17,Inb.4,2520,Female
0.59,18,Inb.4,2540,Female
0.59,19,Inb.4,2610,Female
0.59,20,Inb.4,2430,Female
0.59,21,Inb.4,2480,Female
0.59,22,Inb.4,2550,Female
0.59,23,Inb.4,2510,Female
0.59,24,Inb.4,2290,Female
0.59,27,Inb.4,2610,Female
0.59,31,Inb.4,2440,Female
0.59,32,Inb.4,2710,Female
0.59,33,Inb.4,2640,Female
0.59,34,Inb.4,2480,Female
0.59,35,Inb.4,2450,Female
0.59,38,Inb.4,2480,Female
0.59,39,Inb.4,2420,Female
0.59,40,Inb.4,2690,Female
0.59,42,Inb.4,2490,Female
0.59,43,Inb.4,2610,Female
0.59,44,Inb.4,2300,Female
0.59,45,Inb.4,2620,Female
0.67,1,Inb.5,2600,Female
0.67,2,Inb.5,2430,Female
0.67,5,Inb.5,2500,Female
0.67,6,Inb.5,2670,Female
0.67,7,Inb.5,2490,Female
0.67,8,Inb.5,2480,Female
0.67,9,Inb.5,2680,Female
0.67,11,Inb.5,2520,Female
0.67,12,Inb.5,2560,Female
0.67,13,Inb.5,2410,Female
0.67,14,Inb.5,2460,Female
0.67,16,Inb.5,2490,Female
0.67,17,Inb.5,2500,Female
0.67,18,Inb.5,2550,Female
0.67,19,Inb.5,2400,Female
0.67,20,Inb.5,2540,Female
0.67,21,Inb.5,2550,Female
0.67,22,Inb.5,2420,Female
0.67,23,Inb.5,2470,Female
0.67,24,Inb.5,2450,Female
0.67,27,Inb.5,2570,Female
0.67,31,Inb.5,2480,Female
0.67,32,Inb.5,2870,Female
0.67,33,Inb.5,2630,Female
0.67,34,Inb.5,2400,Female
0.67,35,Inb.5,2550,Female
0.67,38,Inb.5,2500,Female
0.67,39,Inb.5,2400,Female
0.67,40,Inb.5,2610,Female
0.67,42,Inb.5,2570,Female
0.67,43,Inb.5,2580,Female
0.67,44,Inb.5,2230,Female
0.67,45,Inb.5,2430,Female
0.73,1,Inb.6,2500,Female
0.73,2,Inb.6,2420,Female
0.73,5,Inb.6,2440,Female
0.73,6,Inb.6,2660,Female
0.73,7,Inb.6,2490,Female
0.73,8,Inb.6,2400,Female
0.73,9,Inb.6,2530,Female
0.73,11,Inb.6,2570,Female
0.73,12,Inb.6,2530,Female
0.73,13,Inb.6,2340,Female
0.73,14,Inb.6,2510,Female
0.73,16,Inb.6,2490,Female
0.73,17,Inb.6,2290,Female
0.73,18,Inb.6,2590,Female
0.73,19,Inb.6,2490,Female
0.73,20,Inb.6,2700,Female
0.73,21,Inb.6,2480,Female
0.73,22,Inb.6,2350,Female
0.73,23,Inb.6,2480,Female
0.73,24,Inb.6,2420,Female
0.73,27,Inb.6,2620,Female
0.73,31,Inb.6,2650,Female
0.73,32,Inb.6,2630,Female
0.73,33,Inb.6,2700,Female
0.73,34,Inb.6,2320,Female
0.73,35,Inb.6,2410,Female
0.73,38,Inb.6,2440,Female
0.73,39,Inb.6,2420,Female
0.73,40,Inb.6,2560,Female
0.73,42,Inb.6,2540,Female
0.73,43,Inb.6,2470,Female
0.73,44,Inb.6,2490,Female
0.73,45,Inb.6,2370,Female
