Corr_Gen,Fam.ID,EL1_mm,EL2_mm,EL1,EL2,ID
F5_F6,Fam.22,2.42,2.35,2420,2350,Female
F5_F6,Fam.23,2.47,2.48,2470,2480,Female
F5_F6,Fam.24,2.45,2.42,2450,2420,Female
F5_F6,Fam.27,2.57,2.62,2570,2620,Female
F5_F6,Fam.31,2.48,2.65,2480,2650,Female
F5_F6,Fam.32,2.87,2.63,2870,2630,Female
F5_F6,Fam.33,2.63,2.7,2630,2700,Female
F5_F6,Fam.34,2.4,2.32,2400,2320,Female
F5_F6,Fam.35,2.55,2.41,2550,2410,Female
F5_F6,Fam.38,2.5,2.44,2500,2440,Female
F5_F6,Fam.39,2.4,2.42,2400,2420,Female
F5_F6,Fam.40,2.61,2.56,2610,2560,Female
F5_F6,Fam.42,2.57,2.54,2570,2540,Female
F5_F6,Fam.43,2.58,2.47,2580,2470,Female
F5_F6,Fam.44,2.23,2.49,2230,2490,Female
F5_F6,Fam.45,2.43,2.37,2430,2370,Female
