Inb.coef,Family,ID,Testes_vol_mm,Testes_vol
0.37,31,Inb.2,0.564,564
0.37,32,Inb.2,0.612,612
0.37,33,Inb.2,0.48,480
0.37,34,Inb.2,0.588,588
0.37,35,Inb.2,0.552,552
0.37,38,Inb.2,0.36,360
0.37,39,Inb.2,0.396,396
0.37,40,Inb.2,0.492,492
0.37,42,Inb.2,0.36,360
0.37,43,Inb.2,0.396,396
0.37,44,Inb.2,0.408,408
0.37,45,Inb.2,0.348,348
0.50,1,Inb.3,0.216,216
0.50,2,Inb.3,0.324,324
0.50,5,Inb.3,0.264,264
0.50,6,Inb.3,0.372,372
0.50,7,Inb.3,0.288,288
0.50,8,Inb.3,0.348,348
0.50,9,Inb.3,0.36,360
0.50,11,Inb.3,0.252,252
0.50,12,Inb.3,0.384,384
0.50,13,Inb.3,0.336,336
0.50,14,Inb.3,0.264,264
0.50,16,Inb.3,0.288,288
0.50,17,Inb.3,0.204,204
0.50,18,Inb.3,0.42,420
0.50,19,Inb.3,0.384,384
0.50,20,Inb.3,0.408,408
0.50,21,Inb.3,0.408,408
0.50,22,Inb.3,0.324,324
0.50,23,Inb.3,0.312,312
0.50,24,Inb.3,0.336,336
0.50,27,Inb.3,0.384,384
0.50,31,Inb.3,0.276,276
0.50,32,Inb.3,0.384,384
0.50,33,Inb.3,0.036,36
0.50,34,Inb.3,0.276,276
0.50,35,Inb.3,0.384,384
0.50,38,Inb.3,0.264,264
0.50,39,Inb.3,0.288,288
0.50,40,Inb.3,0.336,336
0.50,42,Inb.3,0.336,336
0.50,43,Inb.3,0.36,360
0.50,44,Inb.3,0.324,324
0.50,45,Inb.3,0.312,312
0.59,1,Inb.4,0.408,408
0.59,2,Inb.4,0.3,300
0.59,5,Inb.4,0.372,372
0.59,6,Inb.4,0.324,324
0.59,7,Inb.4,0.108,108
0.59,8,Inb.4,0.384,384
0.59,9,Inb.4,0.384,384
0.59,11,Inb.4,0.144,144
0.59,12,Inb.4,0.252,252
0.59,13,Inb.4,0.24,240
0.59,14,Inb.4,0.3,300
0.59,16,Inb.4,0.432,432
0.59,17,Inb.4,0.36,360
0.59,18,Inb.4,0.372,372
0.59,19,Inb.4,0.324,324
0.59,20,Inb.4,0.432,432
0.59,21,Inb.4,0.42,420
0.59,22,Inb.4,0.276,276
0.59,23,Inb.4,0.348,348
0.59,24,Inb.4,0.42,420
0.59,27,Inb.4,0.468,468
0.59,31,Inb.4,0.42,420
0.59,32,Inb.4,0.42,420
0.59,33,Inb.4,0.336,336
0.59,34,Inb.4,0.252,252
0.59,35,Inb.4,0.336,336
0.59,38,Inb.4,0.336,336
0.59,39,Inb.4,0.312,312
0.59,40,Inb.4,0.276,276
0.59,42,Inb.4,0.36,360
0.59,43,Inb.4,0.312,312
0.59,44,Inb.4,0.372,372
0.59,45,Inb.4,0.42,420
0.67,1,Inb.5,0.348,348
0.67,2,Inb.5,0.36,360
0.67,5,Inb.5,0.372,372
0.67,6,Inb.5,0.216,216
0.67,7,Inb.5,0.288,288
0.67,8,Inb.5,0.336,336
0.67,9,Inb.5,0.324,324
0.67,11,Inb.5,0.276,276
0.67,12,Inb.5,0.24,240
0.67,13,Inb.5,0.3,300
0.67,14,Inb.5,0.384,384
0.67,16,Inb.5,0.144,144
0.67,17,Inb.5,0.336,336
0.67,18,Inb.5,0.372,372
0.67,19,Inb.5,0.264,264
0.67,20,Inb.5,0.24,240
0.67,21,Inb.5,0.456,456
0.67,22,Inb.5,0.348,348
0.67,23,Inb.5,0.324,324
0.67,24,Inb.5,0.348,348
0.67,27,Inb.5,0.396,396
0.67,31,Inb.5,0.384,384
0.67,32,Inb.5,0.324,324
0.67,33,Inb.5,0.228,228
0.67,34,Inb.5,0.204,204
0.67,35,Inb.5,0.348,348
0.67,38,Inb.5,0.192,192
0.67,39,Inb.5,0.228,228
0.67,40,Inb.5,0.24,240
0.67,42,Inb.5,0.324,324
0.67,43,Inb.5,0.324,324
0.67,44,Inb.5,0.312,312
0.67,45,Inb.5,0.312,312
0.73,1,Inb.6,0.156,156
0.73,2,Inb.6,0.192,192
0.73,5,Inb.6,0.288,288
0.73,6,Inb.6,0.084,84
0.73,7,Inb.6,0.168,168
0.73,8,Inb.6,0.108,108
0.73,9,Inb.6,0.252,252
0.73,11,Inb.6,0.228,228
0.73,12,Inb.6,0.252,252
0.73,13,Inb.6,0.084,84
0.73,14,Inb.6,0.252,252
0.73,16,Inb.6,0.132,132
0.73,17,Inb.6,0.132,132
0.73,18,Inb.6,0.216,216
0.73,19,Inb.6,0.132,132
0.73,20,Inb.6,0.144,144
0.73,21,Inb.6,0.192,192
0.73,22,Inb.6,0.168,168
0.73,23,Inb.6,0.216,216
0.73,24,Inb.6,0.324,324
0.73,27,Inb.6,0.156,156
0.73,31,Inb.6,0.144,144
0.73,32,Inb.6,0.228,228
0.73,33,Inb.6,0.144,144
0.73,34,Inb.6,0.204,204
0.73,35,Inb.6,0.156,156
0.73,38,Inb.6,0.156,156
0.73,39,Inb.6,0.132,132
0.73,40,Inb.6,0.12,120
0.73,42,Inb.6,0.168,168
0.73,43,Inb.6,0.264,264
0.73,44,Inb.6,0.18,180
0.73,45,Inb.6,0.228,228
