Sex,Family,ID,Elytra_mm,Elytra
Female,20b,G0,2.52,2520
Female,21b,G0,2.5,2500
Female,22b,G0,2.5,2500
Female,23b,G0,2.5,2500
Female,24b,G0,2.45,2450
Female,25b,G0,2.58,2580
Female,26b,G0,2.52,2520
Female,27b,G0,2.67,2670
Female,28b,G0,2.53,2530
Female,29b,G0,2.49,2490
Female,30b,G0,2.6,2600
Female,31b,G0,2.63,2630
Female,32b,G0,2.7,2700
Female,33b,G0,2.58,2580
Female,34b,G0,2.36,2360
Female,35b,G0,2.54,2540
Female,36b,G0,2.63,2630
Female,37b,G0,2.5,2500
Female,38b,G0,2.66,2660
Female,39b,G0,2.57,2570
Female,40b,G0,2.58,2580
Female,41b,G0,2.51,2510
Female,42b,G0,2.57,2570
Female,43b,G0,2.4,2400
Female,44a,G0,2.53,2530
Female,45b,G0,2.64,2640
Female,1,Inb.1,2.4,2400
Female,2,Inb.1,2.54,2540
Female,3,Inb.1,2.42,2420
Female,4,Inb.1,2.39,2390
Female,5,Inb.1,2.58,2580
Female,6,Inb.1,2.55,2550
Female,7,Inb.1,2.41,2410
Female,8,Inb.1,2.45,2450
Female,9,Inb.1,2.61,2610
Female,10,Inb.1,2.62,2620
Female,11,Inb.1,2.46,2460
Female,12,Inb.1,2.43,2430
Female,13,Inb.1,2.5,2500
Female,14,Inb.1,2.6,2600
Female,15,Inb.1,2.41,2410
Female,16,Inb.1,2.55,2550
Female,17,Inb.1,2.47,2470
Female,18,Inb.1,2.56,2560
Female,19,Inb.1,2.77,2770
Female,20,Inb.1,2.51,2510
Female,21,Inb.1,2.57,2570
Female,22,Inb.1,2.51,2510
Female,23,Inb.1,2.46,2460
Female,24,Inb.1,2.4,2400
Female,25,Inb.1,2.46,2460
Female,26,Inb.1,2.58,2580
Female,27,Inb.1,2.6,2600
Female,28,Inb.1,2.55,2550
Female,29,Inb.1,2.6,2600
Female,30,Inb.1,2.57,2570
Female,31,Inb.1,2.46,2460
Female,32,Inb.1,2.58,2580
Female,33,Inb.1,2.55,2550
Female,34,Inb.1,2.55,2550
Female,35,Inb.1,2.49,2490
Female,36,Inb.1,2.54,2540
Female,37,Inb.1,2.55,2550
Female,38,Inb.1,2.47,2470
Female,39,Inb.1,2.68,2680
Female,40,Inb.1,2.55,2550
Female,41,Inb.1,2.47,2470
Female,42,Inb.1,2.46,2460
Female,43,Inb.1,2.52,2520
Female,44,Inb.1,2.6,2600
Female,45,Inb.1,2.64,2640
Female,1,Inb.2,2.42,2420
Female,2,Inb.2,2.55,2550
Female,3,Inb.2,2.44,2440
Female,4,Inb.2,2.43,2430
Female,5,Inb.2,2.49,2490
Female,6,Inb.2,2.74,2740
Female,7,Inb.2,2.44,2440
Female,8,Inb.2,2.45,2450
Female,9,Inb.2,2.6,2600
Female,10,Inb.2,2.4,2400
Female,11,Inb.2,2.51,2510
Female,12,Inb.2,2.51,2510
Female,13,Inb.2,2.56,2560
Female,14,Inb.2,2.67,2670
Female,15,Inb.2,2.47,2470
Female,16,Inb.2,2.4,2400
Female,17,Inb.2,2.6,2600
Female,18,Inb.2,2.65,2650
Female,19,Inb.2,2.62,2620
Female,20,Inb.2,2.6,2600
Female,21,Inb.2,2.6,2600
Female,22,Inb.2,2.44,2440
Female,23,Inb.2,2.47,2470
Female,24,Inb.2,2.43,2430
Female,25,Inb.2,2.51,2510
Female,26,Inb.2,2.5,2500
Female,27,Inb.2,2.55,2550
Female,28,Inb.2,2.6,2600
Female,29,Inb.2,2.47,2470
Female,31,Inb.2,2.46,2460
Female,32,Inb.2,2.66,2660
Female,33,Inb.2,2.56,2560
Female,34,Inb.2,2.47,2470
Female,35,Inb.2,2.46,2460
Female,36,Inb.2,2.62,2620
Female,37,Inb.2,2.57,2570
Female,38,Inb.2,2.62,2620
Female,39,Inb.2,2.51,2510
Female,40,Inb.2,2.64,2640
Female,41,Inb.2,2.5,2500
Female,42,Inb.2,2.53,2530
Female,43,Inb.2,2.38,2380
Female,44,Inb.2,2.58,2580
Female,45,Inb.2,2.52,2520
Female,1,Inb.3,2.2,2200
Female,2,Inb.3,2.44,2440
Female,3,Inb.3,2.27,2270
Female,4,Inb.3,2.48,2480
Female,5,Inb.3,2.52,2520
Female,6,Inb.3,2.69,2690
Female,7,Inb.3,2.47,2470
Female,8,Inb.3,2.52,2520
Female,9,Inb.3,2.46,2460
Female,10,Inb.3,2.44,2440
Female,11,Inb.3,2.46,2460
Female,12,Inb.3,2.51,2510
Female,13,Inb.3,2.41,2410
Female,14,Inb.3,2.59,2590
Female,15,Inb.3,2.37,2370
Female,16,Inb.3,2.46,2460
Female,17,Inb.3,2.45,2450
Female,18,Inb.3,2.61,2610
Female,19,Inb.3,2.69,2690
Female,20,Inb.3,2.51,2510
Female,21,Inb.3,2.6,2600
Female,22,Inb.3,2.63,2630
Female,23,Inb.3,2.47,2470
Female,24,Inb.3,2.4,2400
Female,25,Inb.3,2.53,2530
Female,26,Inb.3,2.5,2500
Female,27,Inb.3,2.63,2630
Female,29,Inb.3,2.53,2530
Female,31,Inb.3,2.6,2600
Female,32,Inb.3,2.59,2590
Female,33,Inb.3,2.51,2510
Female,34,Inb.3,2.53,2530
Female,35,Inb.3,2.51,2510
Female,36,Inb.3,2.46,2460
Female,37,Inb.3,2.39,2390
Female,38,Inb.3,2.48,2480
Female,39,Inb.3,2.46,2460
Female,40,Inb.3,2.66,2660
Female,41,Inb.3,2.48,2480
Female,42,Inb.3,2.54,2540
Female,43,Inb.3,2.73,2730
Female,44,Inb.3,2.57,2570
Female,45,Inb.3,2.61,2610
Female,1,Inb.4,2.59,2590
Female,2,Inb.4,2.44,2440
Female,3,Inb.4,2.4,2400
Female,4,Inb.4,2.47,2470
Female,5,Inb.4,2.44,2440
Female,6,Inb.4,2.68,2680
Female,7,Inb.4,2.25,2250
Female,8,Inb.4,2.42,2420
Female,9,Inb.4,2.61,2610
Female,10,Inb.4,2.55,2550
Female,11,Inb.4,2.55,2550
Female,12,Inb.4,2.33,2330
Female,13,Inb.4,2.5,2500
Female,14,Inb.4,2.53,2530
Female,15,Inb.4,2.54,2540
Female,16,Inb.4,2.59,2590
Female,17,Inb.4,2.52,2520
Female,18,Inb.4,2.54,2540
Female,19,Inb.4,2.61,2610
Female,20,Inb.4,2.43,2430
Female,21,Inb.4,2.48,2480
Female,22,Inb.4,2.55,2550
Female,23,Inb.4,2.51,2510
Female,24,Inb.4,2.29,2290
Female,26,Inb.4,2.6,2600
Female,27,Inb.4,2.61,2610
Female,29,Inb.4,2.55,2550
Female,31,Inb.4,2.44,2440
Female,32,Inb.4,2.71,2710
Female,33,Inb.4,2.64,2640
Female,34,Inb.4,2.48,2480
Female,35,Inb.4,2.45,2450
Female,36,Inb.4,2.43,2430
Female,37,Inb.4,2.55,2550
Female,38,Inb.4,2.48,2480
Female,39,Inb.4,2.42,2420
Female,40,Inb.4,2.69,2690
Female,41,Inb.4,2.4,2400
Female,42,Inb.4,2.49,2490
Female,43,Inb.4,2.61,2610
Female,44,Inb.4,2.3,2300
Female,45,Inb.4,2.62,2620
Female,1,Inb.5,2.6,2600
Female,2,Inb.5,2.43,2430
Female,5,Inb.5,2.5,2500
Female,6,Inb.5,2.67,2670
Female,7,Inb.5,2.49,2490
Female,8,Inb.5,2.48,2480
Female,9,Inb.5,2.68,2680
Female,10,Inb.5,2.42,2420
Female,11,Inb.5,2.52,2520
Female,12,Inb.5,2.56,2560
Female,13,Inb.5,2.41,2410
Female,14,Inb.5,2.46,2460
Female,16,Inb.5,2.49,2490
Female,17,Inb.5,2.5,2500
Female,18,Inb.5,2.55,2550
Female,19,Inb.5,2.4,2400
Female,20,Inb.5,2.54,2540
Female,21,Inb.5,2.55,2550
Female,22,Inb.5,2.42,2420
Female,23,Inb.5,2.47,2470
Female,24,Inb.5,2.45,2450
Female,27,Inb.5,2.57,2570
Female,31,Inb.5,2.48,2480
Female,32,Inb.5,2.87,2870
Female,33,Inb.5,2.63,2630
Female,34,Inb.5,2.4,2400
Female,35,Inb.5,2.55,2550
Female,37,Inb.5,2.56,2560
Female,38,Inb.5,2.5,2500
Female,39,Inb.5,2.4,2400
Female,40,Inb.5,2.61,2610
Female,42,Inb.5,2.57,2570
Female,43,Inb.5,2.58,2580
Female,44,Inb.5,2.23,2230
Female,45,Inb.5,2.43,2430
Female,1,Inb.6,2.5,2500
Female,2,Inb.6,2.42,2420
Female,5,Inb.6,2.44,2440
Female,6,Inb.6,2.66,2660
Female,7,Inb.6,2.49,2490
Female,8,Inb.6,2.4,2400
Female,9,Inb.6,2.53,2530
Female,11,Inb.6,2.57,2570
Female,12,Inb.6,2.53,2530
Female,13,Inb.6,2.34,2340
